bet_id,placed_at,sport,league,game_id,matchup,market,selection,model_prob,model_version,market_odds_decimal,book,edge_pct,stake,kelly_fraction,status,closing_odds_decimal,clv_pct,result_logged_at,notes,mode,market_ticker,market_fair_prob,commence_time
5598f8e2,2026-09-10T15:00:27.357430+00:00,soccer,EPL,KXEPLGAME-26SEP12CRYIPS,Ipswich @ Crystal Palace,moneyline,home,0.6281561786562877,epl-elo-logit-v1,1.923076923076923,kalshi,20.79926512620916,1.0,0.0563313430501498,pending,,,,model not cleared by backtest; shadow only,shadow,KXEPLGAME-26SEP12CRYIPS-CRY,0.5124378109452737,2026-09-12T17:00:00Z
4b82dfa6,2026-09-10T15:00:27.365069+00:00,soccer,EPL,KXEPLGAME-26SEP12CFCHUL,Hull @ Chelsea,moneyline,draw,0.2456128187478654,epl-elo-logit-v1,6.666666666666667,kalshi,63.74187916524363,1.0,0.0281214172787839,pending,,,,model not cleared by backtest; shadow only,shadow,KXEPLGAME-26SEP12CFCHUL-TIE,0.1428571428571428,2026-09-12T17:00:00Z
2f10be15,2026-09-10T15:00:27.371820+00:00,soccer,EPL,KXEPLGAME-26SEP12CFCHUL,Hull @ Chelsea,moneyline,away,0.2450383161621625,epl-elo-logit-v1,12.5,kalshi,206.2978952027032,1.0,0.0448473685223267,pending,,,,model not cleared by backtest; shadow only,shadow,KXEPLGAME-26SEP12CFCHUL-HUL,0.0738916256157635,2026-09-12T17:00:00Z
f9aeaba4,2026-09-10T15:00:27.378373+00:00,soccer,EPL,KXEPLGAME-26SEP12BOUBRE,Brentford @ Bournemouth,moneyline,home,0.4711121644535755,epl-elo-logit-v1,2.564102564102564,kalshi,20.79799088553218,1.0,0.033242690349826,pending,,,,model not cleared by backtest; shadow only,shadow,KXEPLGAME-26SEP12BOUBRE-BOU,0.385,2026-09-12T17:00:00Z
fdc106bb,2026-09-10T15:00:27.385177+00:00,soccer,EPL,KXEPLGAME-26SEP12AVLNFO,Nott'm Forest @ Aston Villa,moneyline,home,0.4917350379427991,epl-elo-logit-v1,2.3255813953488373,kalshi,14.356985568092838,1.0,0.0270767710275435,pending,,,,model not cleared by backtest; shadow only,shadow,KXEPLGAME-26SEP12AVLNFO-AVL,0.4271356783919598,2026-09-12T17:00:00Z
e34b1f1b,2026-09-10T17:53:06.037063+00:00,nfl,NFL,KXNFLGAME-26SEP20MIASF,MIA @ SF,moneyline,away,0.344365651325963,nfl-elo-v1,7.142857142857142,kalshi,145.97546523283066,1.0,0.0594086195715008,void,,,2026-09-10T17:59:05.372212+00:00,"voided: priced by nfl-elo-v1, whose ratings came from a scrambled within-season order (week sorted as string); also logged without the liquidity filter. Re-priced under nfl-elo-v2.",shadow,KXNFLGAME-26SEP20MIASF-MIA,0.135,2026-09-20T23:25:00Z
74f0464a,2026-09-10T17:59:11.503016+00:00,nfl,NFL,KXNFLGAME-26SEP21NYGLAR,NYG @ LA,moneyline,away,0.2591072273039941,nfl-elo-v2,5.555555555555555,kalshi,43.948459613330094,1.0,0.0241180571048762,pending,,,,model not cleared by backtest; shadow only,shadow,KXNFLGAME-26SEP21NYGLAR-NYG,0.1758793969849245,2026-09-22T03:15:00Z
73d96556,2026-09-10T17:59:11.508910+00:00,nfl,NFL,KXNFLGAME-26SEP20INDKC,IND @ KC,moneyline,away,0.3741087260915645,nfl-elo-v2,3.571428571428571,kalshi,33.6102593184159,1.0,0.0326766410040154,pending,,,,model not cleared by backtest; shadow only,shadow,KXNFLGAME-26SEP20INDKC-IND,0.2763819095477387,2026-09-21T03:20:00Z
391749c8,2026-09-10T17:59:11.514579+00:00,nfl,NFL,KXNFLGAME-26SEP20SEAARI,SEA @ ARI,moneyline,home,0.3374906142931849,nfl-elo-v2,3.7037037037037033,kalshi,24.996523812290693,1.0,0.0231132240730085,pending,,,,model not cleared by backtest; shadow only,shadow,KXNFLGAME-26SEP20SEAARI-ARI,0.26,2026-09-20T23:25:00Z
03530b63,2026-09-10T17:59:11.520411+00:00,nfl,NFL,KXNFLGAME-26SEP20LVLAC,LV @ LAC,moneyline,away,0.280856665522518,nfl-elo-v2,4.761904761904762,kalshi,33.741269296437125,1.0,0.0224229954185183,pending,,,,model not cleared by backtest; shadow only,shadow,KXNFLGAME-26SEP20LVLAC-LV,0.205,2026-09-20T23:05:00Z
35616668,2026-09-10T17:59:11.526011+00:00,nfl,NFL,KXNFLGAME-26SEP20JACDEN,JAX @ DEN,moneyline,home,0.6362282447799681,nfl-elo-v2,1.6949152542372885,kalshi,7.835295725418323,1.0,0.0281879541341269,pending,,,,model not cleared by backtest; shadow only,shadow,KXNFLGAME-26SEP20JACDEN-DEN,0.58,2026-09-20T23:05:00Z
a70b3393,2026-09-10T17:59:11.531612+00:00,nfl,NFL,KXNFLGAME-26SEP20CLETB,CLE @ TB,moneyline,away,0.3586175476753408,nfl-elo-v2,3.571428571428571,kalshi,28.077695598336,1.0,0.0272977596094933,pending,,,,model not cleared by backtest; shadow only,shadow,KXNFLGAME-26SEP20CLETB-CLE,0.271356783919598,2026-09-20T20:00:00Z
b90229fb,2026-09-10T17:59:11.537512+00:00,nfl,NFL,KXNFLGAME-26SEP20CINHOU,CIN @ HOU,moneyline,home,0.6673968646642993,nfl-elo-v2,1.7543859649122808,kalshi,17.087169239350764,1.0,0.0566260841071507,pending,,,,model not cleared by backtest; shadow only,shadow,KXNFLGAME-26SEP20CINHOU-HOU,0.5656565656565657,2026-09-20T20:00:00Z
